Eqp_Key,Call_Key,Operating_Time,Networking_Time,First_Move_Eqp_Dt_Year,First_Move_Eqp_Dt_YearMonth,First_Move_Eqp_Dt_YearMonthDay,Last_Move_Eqp_Dt_Year,Last_Move_Eqp_Dt_YearMonth,Last_Move_Eqp_Dt_YearMonthDay,Last_Move_Eqp_Dt_WeekThursday,Eqp_Call_Key,Eqp_ID,Eqp_Type_Custom
1271,157000,6.55,6.55,2023,2023-11,11/21/2023 00:00:00,2023,2023-11,11/21/2023 00:00:00,2023 - Week 47,1271_157000,CR1,STS
1271,157002,1.9,1.65,2023,2023-11,11/07/2023 00:00:00,2023,2023-11,11/07/2023 00:00:00,2023 - Week 45,1271_157002,CR1,STS
1271,157111,46.35,44.45,2023,2023-11,11/12/2023 00:00:00,2023,2023-11,11/14/2023 00:00:00,2023 - Week 46,1271_157111,CR1,STS
1271,157112,29.53,29.5,2023,2023-11,11/14/2023 00:00:00,2023,2023-11,11/16/2023 00:00:00,2023 - Week 47,1271_157112,CR1,STS
1271,157113,48.53,48.03,2023,2023-11,11/17/2023 00:00:00,2023,2023-11,11/19/2023 00:00:00,2023 - Week 47,1271_157113,CR1,STS
1271,157114,17.63,17.5,2023,2023-11,11/20/2023 00:00:00,2023,2023-11,11/20/2023 00:00:00,2023 - Week 47,1271_157114,CR1,STS
1271,157225,46.35,46.31,2023,2023-11,11/22/2023 00:00:00,2023,2023-11,11/24/2023 00:00:00,2023 - Week 48,1271_157225,CR1,STS
1271,39704,7.67,7.67,2022,2022-12,12/22/2022 00:00:00,2022,2022-12,12/22/2022 00:00:00,2022 - Week 52,1271_39704,CR1,STS
1271,39706,29.55,29.48,2022,2022-12,12/27/2022 00:00:00,2022,2022-12,12/29/2022 00:00:00,2023 - Week 01,1271_39706,CR1,STS
1271,39796,6.95,6.95,2023,2023-01,01/05/2023 00:00:00,2023,2023-01,01/06/2023 00:00:00,2023 - Week 02,1271_39796,CR1,STS
1271,39802,33.61,33.5,2023,2023-01,01/11/2023 00:00:00,2023,2023-01,01/12/2023 00:00:00,2023 - Week 03,1271_39802,CR1,STS
